area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,County,1015,Calhoun County,"Calhoun, AL",63390,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8821,0.3415
Total,County,1017,Chambers County,"Chambers, AL",19307,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8707,0.1751
Total,County,1017,Chambers County,"Chambers, AL",19307,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3178,0.1536
Total,County,1019,Cherokee County,"Cherokee, AL",18758,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.1867,0.0391
Total,County,1019,Cherokee County,"Cherokee, AL",18758,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.0884,0.0366
Total,County,1021,Chilton County,"Chilton, AL",25330,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4573,0.4193
Total,County,1021,Chilton County,"Chilton, AL",25330,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4306,0.4200
Total,County,1023,Choctaw County,"Choctaw, AL",9394,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0375,0.0375
Total,County,1023,Choctaw County,"Choctaw, AL",9394,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0406,0.0377
Total,County,1025,Clarke County,"Clarke, AL",14640,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3883,0.0430
Total,County,1025,Clarke County,"Clarke, AL",14640,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3891,0.0469
Total,County,1027,Clay County,"Clay, AL",8345,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3860,0.1587
Total,County,1027,Clay County,"Clay, AL",8345,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2199,0.1594
Total,County,1029,Cleburne County,"Cleburne, AL",8333,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1681,0.1680
Total,County,1029,Cleburne County,"Cleburne, AL",8333,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1667,0.1667
Total,County,1031,Coffee County,"Coffee, AL",34550,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9558,0.8843
Total,County,1031,Coffee County,"Coffee, AL",34550,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8961,0.8818
Total,County,1033,Colbert County,"Colbert, AL",32895,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8470,0.3137
Total,County,1033,Colbert County,"Colbert, AL",32895,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7655,0.2475
Total,County,1035,Conecuh County,"Conecuh, AL",8518,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3113,0.0014
Total,County,1035,Conecuh County,"Conecuh, AL",8518,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3113,0.0045
Total,County,1037,Coosa County,"Coosa, AL",7772,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7123,0.4188
Total,County,1037,Coosa County,"Coosa, AL",7772,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4825,0.4188
Total,County,1039,Covington County,"Covington, AL",22706,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9487,0.8181
Total,County,1039,Covington County,"Covington, AL",22706,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9223,0.8181
Total,County,1041,Crenshaw County,"Crenshaw, AL",8436,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6030,0.6030
Total,County,1041,Crenshaw County,"Crenshaw, AL",8436,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6030,0.6030
Total,County,1043,Cullman County,"Cullman, AL",48733,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8538,0.6257
Total,County,1043,Cullman County,"Cullman, AL",48733,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6401,0.6036
Total,County,1045,Dale County,"Dale, AL",26505,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9541,0.8465
Total,County,1045,Dale County,"Dale, AL",26505,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7960,0.7877
Total,County,1047,Dallas County,"Dallas, AL",22722,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6885,0.0635
Total,County,1047,Dallas County,"Dallas, AL",22722,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2060,0.0640
Total,County,1049,DeKalb County,"DeKalb, AL",35784,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8655,0.7007
Total,County,1049,DeKalb County,"DeKalb, AL",35784,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7186,0.7008
Total,County,1051,Elmore County,"Elmore, AL",43399,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8602,0.5161
Total,County,1051,Elmore County,"Elmore, AL",43399,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5808,0.5190
Total,County,1053,Escambia County,"Escambia, AL",20943,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.5631,0.0011
Total,County,1053,Escambia County,"Escambia, AL",20943,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.5302,0.0084
Total,County,1055,Etowah County,"Etowah, AL",57264,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8952,0.4673
Total,County,1055,Etowah County,"Etowah, AL",57264,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7882,0.4660
Total,County,1057,Fayette County,"Fayette, AL",9691,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8739,0.8703
Total,County,1057,Fayette County,"Fayette, AL",9691,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8710,0.8703
Total,County,1059,Franklin County,"Franklin, AL",16979,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9506,0.6976
Total,County,1059,Franklin County,"Franklin, AL",16979,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7632,0.7017
Total,County,1061,Geneva County,"Geneva, AL",15280,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7098,0.5323
Total,County,1061,Geneva County,"Geneva, AL",15280,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.4993,0.4511
Total,County,1063,Greene County,"Greene, AL",5653,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4178,0.4173
Total,County,1063,Greene County,"Greene, AL",5653,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2638,0.2638
Total,County,1065,Hale County,"Hale, AL",10141,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6000,0.2053
Total,County,1065,Hale County,"Hale, AL",10141,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2740,0.0135
Total,County,1067,Henry County,"Henry, AL",11709,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5208,0.3829
Total,County,1067,Henry County,"Henry, AL",11709,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4562,0.3350
Total,County,1069,Houston County,"Houston, AL",59532,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8840,0.6575
Total,County,1069,Houston County,"Houston, AL",59532,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7653,0.6548
Total,County,1071,Jackson County,"Jackson, AL",29393,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9553,0.9375
Total,County,1071,Jackson County,"Jackson, AL",29393,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9436,0.9375
Total,County,1073,Jefferson County,"Jefferson, AL",347031,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9132,0.4511
Total,County,1073,Jefferson County,"Jefferson, AL",347031,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5729,0.4589
Total,County,1075,Lamar County,"Lamar, AL",9283,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9961,0.9961
Total,County,1075,Lamar County,"Lamar, AL",9283,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9961,0.9961
Total,County,1077,Lauderdale County,"Lauderdale, AL",50624,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8858,0.4187
Total,County,1077,Lauderdale County,"Lauderdale, AL",50624,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7876,0.3480
Total,County,1079,Lawrence County,"Lawrence, AL",19368,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9518,0.9518
Total,County,1079,Lawrence County,"Lawrence, AL",19368,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9515,0.9515
Total,County,1081,Lee County,"Lee, AL",92253,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9248,0.5004
Total,County,1081,Lee County,"Lee, AL",92253,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7096,0.4954
Total,County,1083,Limestone County,"Limestone, AL",50201,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8504,0.4101
Total,County,1083,Limestone County,"Limestone, AL",50201,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5229,0.4040
Total,County,1085,Lowndes County,"Lowndes, AL",6357,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3892,0.0758
Total,County,1085,Lowndes County,"Lowndes, AL",6357,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3805,0.0758
Total,County,1087,Macon County,"Macon, AL",11386,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7356,0.6517
Total,County,1087,Macon County,"Macon, AL",11386,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6642,0.6517
Total,County,1089,Madison County,"Madison, AL",198763,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9793,0.8727
Total,County,1089,Madison County,"Madison, AL",198763,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9523,0.8691
Total,County,1091,Marengo County,"Marengo, AL",12119,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6714,0.5831
Total,County,1091,Marengo County,"Marengo, AL",12119,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6715,0.5831
Total,County,1093,Marion County,"Marion, AL",17321,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9990,0.9990
Total,County,1093,Marion County,"Marion, AL",17321,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9990,0.9990
Total,County,1095,Marshall County,"Marshall, AL",48574,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8965,0.4199
Total,County,1095,Marshall County,"Marshall, AL",48574,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4635,0.4200
Total,County,1097,Mobile County,"Mobile, AL",210689,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9147,0.4289
Total,County,1097,Mobile County,"Mobile, AL",210689,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9154,0.4484
Total,County,1099,Monroe County,"Monroe, AL",13055,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4619,0.0264
Total,County,1099,Monroe County,"Monroe, AL",13055,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4643,0.0324
Total,County,1101,Montgomery County,"Montgomery, AL",130896,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8768,0.4793
Total,County,1101,Montgomery County,"Montgomery, AL",130896,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6150,0.4758
Total,County,1103,Morgan County,"Morgan, AL",63471,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9597,0.6649
Total,County,1103,Morgan County,"Morgan, AL",63471,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7494,0.6653
Total,County,1105,Perry County,"Perry, AL",5120,R,Any Technology,1.0000,1.0000,1.0000,0.9998,0.1229,0.1199
Total,County,1105,Perry County,"Perry, AL",5120,B,Any Technology,1.0000,1.0000,1.0000,0.9998,0.1205,0.1199
Total,County,1107,Pickens County,"Pickens, AL",12540,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.4542,0.4539
Total,County,1107,Pickens County,"Pickens, AL",12540,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.4527,0.4524
Total,County,1109,Pike County,"Pike, AL",19102,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9266,0.9266
Total,County,1109,Pike County,"Pike, AL",19102,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9266,0.9266
Total,County,1111,Randolph County,"Randolph, AL",15097,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3228,0.2344
Total,County,1111,Randolph County,"Randolph, AL",15097,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1266,0.0952
Total,County,1113,Russell County,"Russell, AL",31383,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9218,0.9215
Total,County,1113,Russell County,"Russell, AL",31383,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9216,0.9215
Total,County,1115,St. Clair County,"St. Clair, AL",45927,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8027,0.4185
Total,County,1115,St. Clair County,"St. Clair, AL",45927,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6646,0.4188
Total,County,1117,Shelby County,"Shelby, AL",101864,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8417,0.4572
Total,County,1117,Shelby County,"Shelby, AL",101864,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5306,0.4618
Total,County,1119,Sumter County,"Sumter, AL",8185,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4056,0.0009
Total,County,1119,Sumter County,"Sumter, AL",8185,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4122,0.0206
Total,County,1121,Talladega County,"Talladega, AL",44432,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8409,0.4857
Total,County,1121,Talladega County,"Talladega, AL",44432,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5516,0.4257
Total,County,1123,Tallapoosa County,"Tallapoosa, AL",26813,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8751,0.2683
Total,County,1123,Tallapoosa County,"Tallapoosa, AL",26813,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3567,0.2684
Total,County,1125,Tuscaloosa County,"Tuscaloosa, AL",114579,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8772,0.3141
Total,County,1125,Tuscaloosa County,"Tuscaloosa, AL",114579,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7204,0.3304
Total,County,1127,Walker County,"Walker, AL",37651,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5710,0.0616
Total,County,1127,Walker County,"Walker, AL",37651,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1733,0.0785
Total,County,1129,Washington County,"Washington, AL",10274,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0785,0.0107
Total,County,1129,Washington County,"Washington, AL",10274,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0805,0.0128
Total,County,1131,Wilcox County,"Wilcox, AL",7017,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3110,0.1149
Total,County,1131,Wilcox County,"Wilcox, AL",7017,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3110,0.1149
Total,County,1133,Winston County,"Winston, AL",16343,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6323,0.6107
Total,County,1133,Winston County,"Winston, AL",16343,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5850,0.5777
Total,County,2013,Aleutians East Borough,"Aleutians East Borough, AK",1178,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7131,0.0000
Total,County,2013,Aleutians East Borough,"Aleutians East Borough, AK",1178,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7131,0.0000
Total,County,2016,Aleutians West Census Area,"Aleutians West Census Area, AK",1580,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3892,0.0000
Total,County,2016,Aleutians West Census Area,"Aleutians West Census Area, AK",1580,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3892,0.0000
Total,County,2020,Anchorage Municipality,"Anchorage Municipality, AK",138306,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9578,0.0127
Total,County,2020,Anchorage Municipality,"Anchorage Municipality, AK",138306,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9566,0.0035
Total,County,2050,Bethel Census Area,"Bethel Census Area, AK",6663,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2050,Bethel Census Area,"Bethel Census Area, AK",6663,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2060,Bristol Bay Borough,"Bristol Bay Borough, AK",1171,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2060,Bristol Bay Borough,"Bristol Bay Borough, AK",1171,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2063,Chugach Census Area,"Chugach Census Area, AK",3666,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6037,0.6037
Total,County,2063,Chugach Census Area,"Chugach Census Area, AK",3666,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6037,0.6037
Total,County,2066,Copper River Census Area,"Copper River Census Area, AK",4333,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6529,0.6529
Total,County,2066,Copper River Census Area,"Copper River Census Area, AK",4333,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6529,0.6529
Total,County,2068,Denali Borough,"Denali Borough, AK",2169,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0765,0.0765
Total,County,2068,Denali Borough,"Denali Borough, AK",2169,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0775,0.0775
Total,County,2070,Dillingham Census Area,"Dillingham Census Area, AK",2583,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0596,0.0596
Total,County,2070,Dillingham Census Area,"Dillingham Census Area, AK",2583,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0596,0.0596
Total,County,2090,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK",53950,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9214,0.0000
Total,County,2090,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK",53950,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9214,0.0004
Total,County,2100,Haines Borough,"Haines Borough, AK",1754,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5405,0.5405
Total,County,2100,Haines Borough,"Haines Borough, AK",1754,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1231,0.1231
Total,County,2105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, AK",2144,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1143,0.0000
Total,County,2105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, AK",2144,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1143,0.0000
Total,County,2110,Juneau City and Borough,"Juneau City and Borough, AK",16983,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9694,0.0000
Total,County,2110,Juneau City and Borough,"Juneau City and Borough, AK",16983,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9694,0.0000
Total,County,2122,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK",40091,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6254,0.0513
Total,County,2122,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK",40091,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6254,0.0510
Total,County,2130,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, AK",8126,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9685,0.9583
Total,County,2130,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, AK",8126,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9685,0.9583
Total,County,2150,Kodiak Island Borough,"Kodiak Island Borough, AK",6575,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7192,0.0000
Total,County,2150,Kodiak Island Borough,"Kodiak Island Borough, AK",6575,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7192,0.0000
Total,County,2158,Kusilvak Census Area,"Kusilvak Census Area, AK",3026,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2158,Kusilvak Census Area,"Kusilvak Census Area, AK",3026,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2164,Lake and Peninsula Borough,"Lake and Peninsula Borough, AK",2477,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2164,Lake and Peninsula Borough,"Lake and Peninsula Borough, AK",2477,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2170,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, AK",57521,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6082,0.1849
Total,County,2170,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, AK",57521,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5241,0.0426
Total,County,2180,Nome Census Area,"Nome Census Area, AK",4487,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3004,0.0009
Total,County,2180,Nome Census Area,"Nome Census Area, AK",4487,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3004,0.0004
Total,County,2185,North Slope Borough,"North Slope Borough, AK",3281,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5492,0.0000
Total,County,2185,North Slope Borough,"North Slope Borough, AK",3281,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2012,0.0012
Total,County,2188,Northwest Arctic Borough,"Northwest Arctic Borough, AK",3197,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3306,0.0000
Total,County,2188,Northwest Arctic Borough,"Northwest Arctic Borough, AK",3197,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3306,0.0006
Total,County,2195,Petersburg Borough,"Petersburg Borough, AK",1796,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8719,0.2400
Total,County,2195,Petersburg Borough,"Petersburg Borough, AK",1796,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8714,0.0039
Total,County,2198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, AK",4373,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1386,0.1345
Total,County,2198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, AK",4373,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0336,0.0336
Total,County,2220,Sitka City and Borough,"Sitka City and Borough, AK",4741,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9555,0.0000
Total,County,2220,Sitka City and Borough,"Sitka City and Borough, AK",4741,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9555,0.0000
Total,County,2230,Skagway Municipality,"Skagway Municipality, AK",711,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8650,0.8650
Total,County,2230,Skagway Municipality,"Skagway Municipality, AK",711,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0056,0.0056
Total,County,2240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, AK",6590,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0434,0.0434
Total,County,2240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, AK",6590,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0284,0.0284
Total,County,2275,Wrangell City and Borough,"Wrangell City and Borough, AK",1336,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7972,0.0000
Total,County,2275,Wrangell City and Borough,"Wrangell City and Borough, AK",1336,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7964,0.0000
Total,County,2282,Yakutat City and Borough,"Yakutat City and Borough, AK",475,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2282,Yakutat City and Borough,"Yakutat City and Borough, AK",475,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, AK",6360,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,2290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, AK",6360,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0002,0.0002
Total,County,4001,Apache County,"Apache, AZ",30951,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0508,0.0020
Total,County,4001,Apache County,"Apache, AZ",30951,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0509,0.0021
Total,County,4003,Cochise County,"Cochise, AZ",67602,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6620,0.0629
Total,County,4003,Cochise County,"Cochise, AZ",67602,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2092,0.0582
Total,County,4005,Coconino County,"Coconino, AZ",78240,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6231,0.0183
Total,County,4005,Coconino County,"Coconino, AZ",78240,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5454,0.0153
Total,County,4007,Gila County,"Gila, AZ",36433,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5035,0.2518
Total,County,4007,Gila County,"Gila, AZ",36433,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4998,0.2481
Total,County,4009,Graham County,"Graham, AZ",15764,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8596,0.5018
Total,County,4009,Graham County,"Graham, AZ",15764,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8596,0.5018
Total,County,4011,Greenlee County,"Greenlee, AZ",5474,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6218,0.4366
